万得代码,交易所代码,自然日,订单时间,买卖方向,成交价格,订单数量,明细个数,订单明细,
300446.SZ,300446,20171229,95336000,65,216600,3,3,300,400,500,
300446.SZ,300446,20171229,95336000,66,216500,1,1,1500,
300446.SZ,300446,20171229,95345000,65,216600,4,4,300,400,500,8000,
300446.SZ,300446,20171229,95345000,66,216500,1,1,1500,
300446.SZ,300446,20171229,95348000,65,216600,4,4,200,400,500,8000,
300446.SZ,300446,20171229,95348000,66,216500,1,1,1500,
300446.SZ,300446,20171229,95351000,65,216600,4,4,200,400,500,8000,
300446.SZ,300446,20171229,95351000,66,216500,1,1,800,
300446.SZ,300446,20171229,95409000,65,216600,5,5,200,400,500,8000,4000,
300446.SZ,300446,20171229,95409000,66,216500,1,1,800,
300446.SZ,300446,20171229,95418000,65,216600,4,4,200,500,8000,4000,
300446.SZ,300446,20171229,95418000,66,216500,1,1,800,
300446.SZ,300446,20171229,95421000,65,216600,4,4,200,500,8000,4000,
300446.SZ,300446,20171229,95421000,66,216500,1,1,500,
300446.SZ,300446,20171229,95430000,65,216600,4,4,200,500,8000,4000,
300446.SZ,300446,20171229,95430000,66,216500,1,1,300,
300446.SZ,300446,20171229,95433000,65,216500,1,1,700,
300446.SZ,300446,20171229,95433000,66,216200,3,3,800,200,800,
300446.SZ,300446,20171229,95448000,65,216500,2,2,700,1000,
300446.SZ,300446,20171229,95448000,66,216200,4,4,800,200,800,500,
300446.SZ,300446,20171229,95451000,65,216500,2,2,700,1000,
300446.SZ,300446,20171229,95451000,66,216200,3,3,600,500,200,
300446.SZ,300446,20171229,95454000,65,216400,1,1,3000,
300446.SZ,300446,20171229,95454000,66,216200,3,3,600,500,200,
300446.SZ,300446,20171229,95457000,65,216400,2,2,3000,1400,
300446.SZ,300446,20171229,95457000,66,216200,3,3,600,500,200,
300446.SZ,300446,20171229,95524000,65,216400,2,2,3000,1400,
300446.SZ,300446,20171229,95524000,66,216100,2,2,7800,8000,
300446.SZ,300446,20171229,95527000,65,216200,1,1,100,
300446.SZ,300446,20171229,95527000,66,216100,2,2,7800,8000,
300446.SZ,300446,20171229,95530000,65,216400,2,2,3000,1400,
300446.SZ,300446,20171229,95530000,66,216200,1,1,7900,
300446.SZ,300446,20171229,95533000,65,216400,2,2,3000,1400,
300446.SZ,300446,20171229,95533000,66,216300,1,1,300,
300446.SZ,300446,20171229,95539000,65,216400,2,2,3000,1400,
300446.SZ,300446,20171229,95539000,66,216200,1,1,7000,
300446.SZ,300446,20171229,95551000,65,216400,2,2,3000,1400,
300446.SZ,300446,20171229,95551000,66,216200,1,1,6700,
300446.SZ,300446,20171229,95557000,65,216400,2,2,3000,1400,
300446.SZ,300446,20171229,95557000,66,216200,1,1,6600,
300446.SZ,300446,20171229,95603000,65,216300,1,1,1000,
300446.SZ,300446,20171229,95603000,66,216200,1,1,6600,
300446.SZ,300446,20171229,95642000,65,216400,2,2,3000,1400,
300446.SZ,300446,20171229,95642000,66,216200,1,1,5900,
300446.SZ,300446,20171229,95651000,65,216400,2,2,3000,1400,
300446.SZ,300446,20171229,95651000,66,216200,1,1,5600,
300446.SZ,300446,20171229,95718000,65,216400,2,2,3000,1400,
300446.SZ,300446,20171229,95718000,66,216200,1,1,4600,
300446.SZ,300446,20171229,95733000,65,216400,2,2,3000,1400,
300446.SZ,300446,20171229,95733000,66,216200,1,1,4100,
300446.SZ,300446,20171229,95751000,65,216400,2,2,3000,1400,
300446.SZ,300446,20171229,95751000,66,216200,1,1,3700,
300446.SZ,300446,20171229,95806000,65,216400,2,2,3000,1400,
300446.SZ,300446,20171229,95806000,66,216200,2,2,3700,700,
300446.SZ,300446,20171229,95827000,65,216400,2,2,2500,1400,
300446.SZ,300446,20171229,95827000,66,216200,2,2,3700,700,
300446.SZ,300446,20171229,95839000,65,216400,2,2,2500,1400,
300446.SZ,300446,20171229,95839000,66,216300,1,1,700,
300446.SZ,300446,20171229,95851000,65,216400,2,2,2500,1400,
300446.SZ,300446,20171229,95851000,66,216200,2,2,3700,700,
300446.SZ,300446,20171229,95857000,65,216300,1,1,2100,
300446.SZ,300446,20171229,95857000,66,216200,2,2,3700,700,
300446.SZ,300446,20171229,95909000,65,216400,2,2,1800,1400,
300446.SZ,300446,20171229,95909000,66,216200,2,2,3700,700,
300446.SZ,300446,20171229,95951000,65,216400,2,2,1800,1400,
300446.SZ,300446,20171229,95951000,66,216200,2,2,2600,700,
300446.SZ,300446,20171229,100000000,65,216400,2,2,1800,1400,
300446.SZ,300446,20171229,100000000,66,216200,3,3,2600,700,500,
300446.SZ,300446,20171229,100003000,65,216400,2,2,1800,1400,
300446.SZ,300446,20171229,100003000,66,216200,3,3,600,700,500,
300446.SZ,300446,20171229,100039000,65,216400,2,2,1800,1400,
300446.SZ,300446,20171229,100039000,66,216200,4,4,600,700,500,100,
300446.SZ,300446,20171229,100042000,65,216400,2,2,1700,1400,
300446.SZ,300446,20171229,100042000,66,216200,4,4,600,700,500,100,
300446.SZ,300446,20171229,100115000,65,216300,1,1,1100,
300446.SZ,300446,20171229,100115000,66,216200,4,4,600,700,500,100,
300446.SZ,300446,20171229,100133000,65,216400,2,2,1700,1400,
300446.SZ,300446,20171229,100133000,66,216300,1,1,900,
300446.SZ,300446,20171229,100136000,65,216400,2,2,1200,1400,
300446.SZ,300446,20171229,100136000,66,216300,1,1,900,
300446.SZ,300446,20171229,100151000,65,216400,2,2,1200,1400,
300446.SZ,300446,20171229,100151000,66,216300,1,1,500,
300446.SZ,300446,20171229,100206000,65,216400,2,2,1200,1400,
300446.SZ,300446,20171229,100206000,66,216300,2,2,500,500,
300446.SZ,300446,20171229,100209000,65,216600,3,3,6400,4000,10000,
300446.SZ,300446,20171229,100209000,66,216300,2,2,500,500,
300446.SZ,300446,20171229,100251000,65,216600,3,3,400,4000,10000,
300446.SZ,300446,20171229,100251000,66,216300,1,1,200,
300446.SZ,300446,20171229,100315000,65,216600,3,3,200,4000,10000,
300446.SZ,300446,20171229,100315000,66,216300,1,1,200,
300446.SZ,300446,20171229,100330000,65,216600,4,4,200,4000,10000,3000,
300446.SZ,300446,20171229,100330000,66,216300,1,1,200,
